emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
💁🏿‍♀️,woman tipping hand: dark skin tone,,,,,1F481 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋,person raising hand,raisehand,iconic,raisehand,,1F64B,fully-qualified,People & Body,person-gesture
🙋🏻,person raising hand: light skin tone,,,,,1F64B 1F3FB,fully-qualified,People & Body,person-gesture
🙋🏼,person raising hand: medium-light skin tone,,,,,1F64B 1F3FC,fully-qualified,People & Body,person-gesture
🙋🏽,person raising hand: medium skin tone,,,,,1F64B 1F3FD,fully-qualified,People & Body,person-gesture
🙋🏾,person raising hand: medium-dark skin tone,,,,,1F64B 1F3FE,fully-qualified,People & Body,person-gesture
🙋🏿,person raising hand: dark skin tone,,,,,1F64B 1F3FF,fully-qualified,People & Body,person-gesture
🙋‍♂️,man raising hand,,,,,1F64B 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏻‍♂️,man raising hand: light skin tone,,,,,1F64B 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏼‍♂️,man raising hand: medium-light skin tone,,,,,1F64B 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏽‍♂️,man raising hand: medium skin tone,,,,,1F64B 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏾‍♂️,man raising hand: medium-dark skin tone,,,,,1F64B 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏿‍♂️,man raising hand: dark skin tone,,,,,1F64B 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋‍♀️,woman raising hand,,,,,1F64B 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏻‍♀️,woman raising hand: light skin tone,,,,,1F64B 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏼‍♀️,woman raising hand: medium-light skin tone,,,,,1F64B 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏽‍♀️,woman raising hand: medium skin tone,,,,,1F64B 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏾‍♀️,woman raising hand: medium-dark skin tone,,,,,1F64B 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏿‍♀️,woman raising hand: dark skin tone,,,,,1F64B 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏,deaf person,deaf,emojese,,deaf,1F9CF,fully-qualified,People & Body,person-gesture
🧏🏻,deaf person: light skin tone,,,,,1F9CF 1F3FB,fully-qualified,People & Body,person-gesture
🧏🏼,deaf person: medium-light skin tone,,,,,1F9CF 1F3FC,fully-qualified,People & Body,person-gesture
🧏🏽,deaf person: medium skin tone,,,,,1F9CF 1F3FD,fully-qualified,People & Body,person-gesture
🧏🏾,deaf person: medium-dark skin tone,,,,,1F9CF 1F3FE,fully-qualified,People & Body,person-gesture
🧏🏿,deaf person: dark skin tone,,,,,1F9CF 1F3FF,fully-qualified,People & Body,person-gesture
🧏‍♂️,deaf man,,,,,1F9CF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏻‍♂️,deaf man: light skin tone,,,,,1F9CF 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏼‍♂️,deaf man: medium-light skin tone,,,,,1F9CF 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏽‍♂️,deaf man: medium skin tone,,,,,1F9CF 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏾‍♂️,deaf man: medium-dark skin tone,,,,,1F9CF 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏿‍♂️,deaf man: dark skin tone,,,,,1F9CF 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏‍♀️,deaf woman,,,,,1F9CF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏻‍♀️,deaf woman: light skin tone,,,,,1F9CF 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏼‍♀️,deaf woman: medium-light skin tone,,,,,1F9CF 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏽‍♀️,deaf woman: medium skin tone,,,,,1F9CF 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏾‍♀️,deaf woman: medium-dark skin tone,,,,,1F9CF 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏿‍♀️,deaf woman: dark skin tone,,,,,1F9CF 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇,person bowing,sorry,emojese,excuse,sorry,1F647,fully-qualified,People & Body,person-gesture
🙇🏻,person bowing: light skin tone,,,,,1F647 1F3FB,fully-qualified,People & Body,person-gesture
🙇🏼,person bowing: medium-light skin tone,,,,,1F647 1F3FC,fully-qualified,People & Body,person-gesture
🙇🏽,person bowing: medium skin tone,,,,,1F647 1F3FD,fully-qualified,People & Body,person-gesture
🙇🏾,person bowing: medium-dark skin tone,,,,,1F647 1F3FE,fully-qualified,People & Body,person-gesture
🙇🏿,person bowing: dark skin tone,,,,,1F647 1F3FF,fully-qualified,People & Body,person-gesture
🙇‍♂️,man bowing,,,,,1F647 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏻‍♂️,man bowing: light skin tone,,,,,1F647 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏼‍♂️,man bowing: medium-light skin tone,,,,,1F647 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏽‍♂️,man bowing: medium skin tone,,,,,1F647 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏾‍♂️,man bowing: medium-dark skin tone,,,,,1F647 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏿‍♂️,man bowing: dark skin tone,,,,,1F647 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇‍♀️,woman bowing,,,,,1F647 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏻‍♀️,woman bowing: light skin tone,,,,,1F647 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏼‍♀️,woman bowing: medium-light skin tone,,,,,1F647 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏽‍♀️,woman bowing: medium skin tone,,,,,1F647 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏾‍♀️,woman bowing: medium-dark skin tone,,,,,1F647 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏿‍♀️,woman bowing: dark skin tone,,,,,1F647 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦,person facepalming,ugh,emojese,,ugh,1F926,fully-qualified,People & Body,person-gesture
🤦🏻,person facepalming: light skin tone,,,,,1F926 1F3FB,fully-qualified,People & Body,person-gesture
🤦🏼,person facepalming: medium-light skin tone,,,,,1F926 1F3FC,fully-qualified,People & Body,person-gesture
🤦🏽,person facepalming: medium skin tone,,,,,1F926 1F3FD,fully-qualified,People & Body,person-gesture
🤦🏾,person facepalming: medium-dark skin tone,,,,,1F926 1F3FE,fully-qualified,People & Body,person-gesture
🤦🏿,person facepalming: dark skin tone,,,,,1F926 1F3FF,fully-qualified,People & Body,person-gesture
🤦‍♂️,man facepalming,,,,,1F926 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦🏻‍♂️,man facepalming: light skin tone,,,,,1F926 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦🏼‍♂️,man facepalming: medium-light skin tone,,,,,1F926 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦🏽‍♂️,man facepalming: medium skin tone,,,,,1F926 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦🏾‍♂️,man facepalming: medium-dark skin tone,,,,,1F926 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦🏿‍♂️,man facepalming: dark skin tone,,,,,1F926 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤦‍♀️,woman facepalming,,,,,1F926 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦🏻‍♀️,woman facepalming: light skin tone,,,,,1F926 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦🏼‍♀️,woman facepalming: medium-light skin tone,,,,,1F926 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦🏽‍♀️,woman facepalming: medium skin tone,,,,,1F926 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦🏾‍♀️,woman facepalming: medium-dark skin tone,,,,,1F926 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦🏿‍♀️,woman facepalming: dark skin tone,,,,,1F926 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷,person shrugging,dunno,emojese,,dunno,1F937,fully-qualified,People & Body,person-gesture
🤷🏻,person shrugging: light skin tone,,,,,1F937 1F3FB,fully-qualified,People & Body,person-gesture
🤷🏼,person shrugging: medium-light skin tone,,,,,1F937 1F3FC,fully-qualified,People & Body,person-gesture
🤷🏽,person shrugging: medium skin tone,,,,,1F937 1F3FD,fully-qualified,People & Body,person-gesture
🤷🏾,person shrugging: medium-dark skin tone,,,,,1F937 1F3FE,fully-qualified,People & Body,person-gesture
🤷🏿,person shrugging: dark skin tone,,,,,1F937 1F3FF,fully-qualified,People & Body,person-gesture
🤷‍♂️,man shrugging,,,,,1F937 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷🏻‍♂️,man shrugging: light skin tone,,,,,1F937 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷🏼‍♂️,man shrugging: medium-light skin tone,,,,,1F937 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷🏽‍♂️,man shrugging: medium skin tone,,,,,1F937 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷🏾‍♂️,man shrugging: medium-dark skin tone,,,,,1F937 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷🏿‍♂️,man shrugging: dark skin tone,,,,,1F937 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🤷‍♀️,woman shrugging,,,,,1F937 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷🏻‍♀️,woman shrugging: light skin tone,,,,,1F937 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷🏼‍♀️,woman shrugging: medium-light skin tone,,,,,1F937 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷🏽‍♀️,woman shrugging: medium skin tone,,,,,1F937 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷🏾‍♀️,woman shrugging: medium-dark skin tone,,,,,1F937 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤷🏿‍♀️,woman shrugging: dark skin tone,,,,,1F937 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧑‍⚕️,health worker,,,,,1F9D1 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑🏻‍⚕️,health worker: light skin tone,,,,,1F9D1 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑🏼‍⚕️,health worker: medium-light skin tone,,,,,1F9D1 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑🏽‍⚕️,health worker: medium skin tone,,,,,1F9D1 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑🏾‍⚕️,health worker: medium-dark skin tone,,,,,1F9D1 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑🏿‍⚕️,health worker: dark skin tone,,,,,1F9D1 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨‍⚕️,man health worker,,,,,1F468 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨🏻‍⚕️,man health worker: light skin tone,,,,,1F468 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨🏼‍⚕️,man health worker: medium-light skin tone,,,,,1F468 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨🏽‍⚕️,man health worker: medium skin tone,,,,,1F468 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨🏾‍⚕️,man health worker: medium-dark skin tone,,,,,1F468 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role
👨🏿‍⚕️,man health worker: dark skin tone,,,,,1F468 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩‍⚕️,woman health worker,,,,,1F469 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩🏻‍⚕️,woman health worker: light skin tone,,,,,1F469 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩🏼‍⚕️,woman health worker: medium-light skin tone,,,,,1F469 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩🏽‍⚕️,woman health worker: medium skin tone,,,,,1F469 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩🏾‍⚕️,woman health worker: medium-dark skin tone,,,,,1F469 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role
👩🏿‍⚕️,woman health worker: dark skin tone,,,,,1F469 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role
🧑‍🎓,student,,,,,1F9D1 200D 1F393,fully-qualified,People & Body,person-role
🧑🏻‍🎓,student: light skin tone,,,,,1F9D1 1F3FB 200D 1F393,fully-qualified,People & Body,person-role
🧑🏼‍🎓,student: medium-light skin tone,,,,,1F9D1 1F3FC 200D 1F393,fully-qualified,People & Body,person-role
🧑🏽‍🎓,student: medium skin tone,,,,,1F9D1 1F3FD 200D 1F393,fully-qualified,People & Body,person-role
🧑🏾‍🎓,student: medium-dark skin tone,,,,,1F9D1 1F3FE 200D 1F393,fully-qualified,People & Body,person-role
🧑🏿‍🎓,student: dark skin tone,,,,,1F9D1 1F3FF 200D 1F393,fully-qualified,People & Body,person-role
👨‍🎓,man student,,,,,1F468 200D 1F393,fully-qualified,People & Body,person-role
👨🏻‍🎓,man student: light skin tone,,,,,1F468 1F3FB 200D 1F393,fully-qualified,People & Body,person-role
👨🏼‍🎓,man student: medium-light skin tone,,,,,1F468 1F3FC 200D 1F393,fully-qualified,People & Body,person-role
👨🏽‍🎓,man student: medium skin tone,,,,,1F468 1F3FD 200D 1F393,fully-qualified,People & Body,person-role
👨🏾‍🎓,man student: medium-dark skin tone,,,,,1F468 1F3FE 200D 1F393,fully-qualified,People & Body,person-role
👨🏿‍🎓,man student: dark skin tone,,,,,1F468 1F3FF 200D 1F393,fully-qualified,People & Body,person-role
👩‍🎓,woman student,,,,,1F469 200D 1F393,fully-qualified,People & Body,person-role
👩🏻‍🎓,woman student: light skin tone,,,,,1F469 1F3FB 200D 1F393,fully-qualified,People & Body,person-role
👩🏼‍🎓,woman student: medium-light skin tone,,,,,1F469 1F3FC 200D 1F393,fully-qualified,People & Body,person-role
👩🏽‍🎓,woman student: medium skin tone,,,,,1F469 1F3FD 200D 1F393,fully-qualified,People & Body,person-role
👩🏾‍🎓,woman student: medium-dark skin tone,,,,,1F469 1F3FE 200D 1F393,fully-qualified,People & Body,person-role
👩🏿‍🎓,woman student: dark skin tone,,,,,1F469 1F3FF 200D 1F393,fully-qualified,People & Body,person-role
🧑‍🏫,teacher,,,,,1F9D1 200D 1F3EB,fully-qualified,People & Body,person-role
🧑🏻‍🏫,teacher: light skin tone,,,,,1F9D1 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role
🧑🏼‍🏫,teacher: medium-light skin tone,,,,,1F9D1 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role
🧑🏽‍🏫,teacher: medium skin tone,,,,,1F9D1 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role
🧑🏾‍🏫,teacher: medium-dark skin tone,,,,,1F9D1 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role
🧑🏿‍🏫,teacher: dark skin tone,,,,,1F9D1 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role
👨‍🏫,man teacher,,,,,1F468 200D 1F3EB,fully-qualified,People & Body,person-role
👨🏻‍🏫,man teacher: light skin tone,,,,,1F468 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role
👨🏼‍🏫,man teacher: medium-light skin tone,,,,,1F468 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role
👨🏽‍🏫,man teacher: medium skin tone,,,,,1F468 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role
👨🏾‍🏫,man teacher: medium-dark skin tone,,,,,1F468 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role
👨🏿‍🏫,man teacher: dark skin tone,,,,,1F468 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role
👩‍🏫,woman teacher,,,,,1F469 200D 1F3EB,fully-qualified,People & Body,person-role
👩🏻‍🏫,woman teacher: light skin tone,,,,,1F469 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role
👩🏼‍🏫,woman teacher: medium-light skin tone,,,,,1F469 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role
👩🏽‍🏫,woman teacher: medium skin tone,,,,,1F469 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role
👩🏾‍🏫,woman teacher: medium-dark skin tone,,,,,1F469 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role
👩🏿‍🏫,woman teacher: dark skin tone,,,,,1F469 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role
🧑‍⚖️,judge,,,,,1F9D1 200D 2696 FE0F,fully-qualified,People & Body,person-role
🧑🏻‍⚖️,judge: light skin tone,,,,,1F9D1 1F3FB 200D 2696 FE0F,fully-qualified,People & Body,person-role
🧑🏼‍⚖️,judge: medium-light skin tone,,,,,1F9D1 1F3FC 200D 2696 FE0F,fully-qualified,People & Body,person-role
🧑🏽‍⚖️,judge: medium skin tone,,,,,1F9D1 1F3FD 200D 2696 FE0F,fully-qualified,People & Body,person-role
🧑🏾‍⚖️,judge: medium-dark skin tone,,,,,1F9D1 1F3FE 200D 2696 FE0F,fully-qualified,People & Body,person-role
🧑🏿‍⚖️,judge: dark skin tone,,,,,1F9D1 1F3FF 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨‍⚖️,man judge,,,,,1F468 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨🏻‍⚖️,man judge: light skin tone,,,,,1F468 1F3FB 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨🏼‍⚖️,man judge: medium-light skin tone,,,,,1F468 1F3FC 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨🏽‍⚖️,man judge: medium skin tone,,,,,1F468 1F3FD 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨🏾‍⚖️,man judge: medium-dark skin tone,,,,,1F468 1F3FE 200D 2696 FE0F,fully-qualified,People & Body,person-role
👨🏿‍⚖️,man judge: dark skin tone,,,,,1F468 1F3FF 200D 2696 FE0F,fully-qualified,People & Body,person-role
👩‍⚖️,woman judge,,,,,1F469 200D 2696 FE0F,fully-qualified,People & Body,person-role
👩🏻‍⚖️,woman judge: light skin tone,,,,,1F469 1F3FB 200D 2696 FE0F,fully-qualified,People & Body,person-role
👩🏼‍⚖️,woman judge: medium-light skin tone,,,,,1F469 1F3FC 200D 2696 FE0F,fully-qualified,People & Body,person-role
👩🏽‍⚖️,woman judge: medium skin tone,,,,,1F469 1F3FD 200D 2696 FE0F,fully-qualified,People & Body,person-role
👩🏾‍⚖️,woman judge: medium-dark skin tone,,,,,1F469 1F3FE 200D 2696 FE0F,fully-qualified,People & Body,person-role
